Posted,Title,Price,Deets,Address,URL
May 11,1 bed.Apart.Gated Building Sunny Laundry Safe  Only 4 Apts. In build,$1350,"
                    1br -
                ",1112 Pine St. CenterCity Philly,https://philadelphia.craigslist.org/apa/d/philadelphia-1-bedapartgated-building/6876323595.html
May 11,"1 Bed 1 Bath - Clothes Care Center in Each Building, Eat in Kitchen.",$1220,"
                    1br -
                    750ft",,https://philadelphia.craigslist.org/apa/d/norristown-1-bed-1-bath-clothes-care/6880470435.html
May 11,✿Let Us Pointe the Way Home! 1 Bedroom - kitchen with Granite! Gym!,$1420,"
                    1br -
                    865ft",Royersford,https://philadelphia.craigslist.org/apa/d/let-us-pointe-the-way-home-1-bedroom/6886580286.html
May 11,"Air Conditioning, Lease Today, Incredible Amenities",$1335,"
                    2br -
                    950ft",Jeffersonville,https://philadelphia.craigslist.org/apa/d/norristown-air-conditioning-lease-today/6886580110.html
May 11,Bi-level 2 bedroom unit in Washington Square West neighborhood of vibr,$1880,"
                    2br -
                    900ft",Washington Sq West Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-bi-level-2-bedroom-unit-in/6886579404.html
May 11,✿Let Us Pointe the Way Home! 1 Bedroom - kitchen with Granite! Gym!,$1420,"
                    1br -
                    865ft",Royersford,https://philadelphia.craigslist.org/apa/d/let-us-pointe-the-way-home-1-bedroom/6886579169.html
May 11,Welcome Home To The Old Quaker Building In University City,$1880,"
                    1br -
                    640ft",3514 Lancaster Avenue,https://philadelphia.craigslist.org/apa/d/philadelphia-welcome-home-to-the-old/6886578583.html
May 11,Health Enthusiasts - Green Features & Green Neighborhood,$1390,"
                    1br -
                    725ft",633 W. Rittenhouse Street,https://philadelphia.craigslist.org/apa/d/philadelphia-health-enthusiasts-green/6886577812.html
May 11,"One Bedroom/One Bath, Washer/Dryer in every apartment",$1295,"
                    1br -
                    917ft",,https://philadelphia.craigslist.org/apa/d/glenmoore-one-bedroom-one-bath-washer/6883398573.html
May 11,STUDIO - Around The Clock Service - Amazing  Living,$1140,"
                    370ft",633 W. Rittenhouse Street,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-around-the-clock/6886577308.html
May 11,"Welcome to Kater View, where top quality and comfort come standard",$2550,"
                    2br -
                    850ft",Bella Vista Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-welcome-to-kater-view/6886500152.html
May 11,"Extra Storage, Convenient Location, Lease Today",$1560,"
                    2br -
                    770ft",Conshohocken,https://philadelphia.craigslist.org/apa/d/conshohocken-extra-storage-convenient/6886576802.html
May 11,"2 Bed 1 Bath - Online Rental Payments, Fitness Center",$1347,"
                    2br -
                    848ft",,https://philadelphia.craigslist.org/apa/d/bensalem-2-bed-1-bath-online-rental/6885037480.html
May 11,BEST VALUE - Live Green & Save Green - Rittenhouse Hill,$1825,"
                    2br -
                    950ft",633 W. Rittenhouse Street,https://philadelphia.craigslist.org/apa/d/philadelphia-best-value-live-green-save/6886576725.html
May 11,#Studio @RittenhouseHill #phillyliving #sophisticated #love,$1125,"
                    370ft",633 W. Rittenhouse Street,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-rittenhousehill/6886576194.html
May 11,"Renovated 2 bed/1 ba House w/backyard, W/D + More! - 2509 W Seybert S",$1250,"
                    2br -
                ",2509 W Seybert St > BREWERYTOWN,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-2-bed-1-ba-house/6886563936.html
May 11,Rent a 1 bedroom apartment today,$1039,"
                    1br -
                    730ft",,https://philadelphia.craigslist.org/apa/d/trenton-rent-1-bedroom-apartment-today/6885007623.html
May 11,1 BD - Chef's Gourmet Kitchen & Spa Bathroom,$1450,"
                    1br -
                    750ft",633 W. Rittenhouse Street,https://philadelphia.craigslist.org/apa/d/philadelphia-1-bd-chefs-gourmet-kitchen/6886575919.html
May 11,The Station House Condominiums once a police station and has been sinc,$2600,"
                    2br -
                    1275ft",Old City Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-the-station-house/6886574985.html
May 11,"FYI: We're Pet Friendly, HWD Floors, Updated Kitchen & Bathrooms",$2995,"
                    2br -
                    1100ft",101 S. 39th Street - University City,https://philadelphia.craigslist.org/apa/d/philadelphia-fyi-were-pet-friendly-hwd/6886574902.html
